,datetime,logchange
1,04/01/1954,0.002443786
2,05/01/1954,0.002603172
3,06/01/1954,0.000691552
4,07/01/1954,-0.001384207
5,08/01/1954,-0.002258788
6,11/01/1954,-0.002270598
7,12/01/1954,0.002270598
8,13/01/1954,0.002432055
9,14/01/1954,0.002073834
10,15/01/1954,0.004118193
11,18/01/1954,0
12,19/01/1954,0.004248659
13,20/01/1954,0.001182214
14,21/01/1954,0.000674109
15,22/01/1954,0.001009205
16,25/01/1954,0.001341969
17,26/01/1954,0.002671562
18,27/01/1954,-0.001333727
19,28/01/1954,0.00016694
20,29/01/1954,0.001000295
21,01/02/1954,-0.001501308
22,02/02/1954,-0.001171282
23,03/02/1954,0.001505355
24,04/02/1954,0.003160939
25,05/02/1954,0.001654457
26,08/02/1954,-0.001157458
27,09/02/1954,-0.000994568
28,10/02/1954,-0.000498139
29,11/02/1954,-0.001331172
30,12/02/1954,0.000998761
31,15/02/1954,-0.001332193
32,16/02/1954,-0.003852975
33,17/02/1954,0.000840516
34,18/02/1954,0
35,19/02/1954,0.001006477
36,23/02/1954,-0.001510591
37,24/02/1954,0
38,25/02/1954,0.001343007
39,26/02/1954,0.00400428
40,01/03/1954,0.001657615
41,02/03/1954,0.001156577
42,03/03/1954,0
43,04/03/1954,0.001482516
44,05/03/1954,0.001805119
45,08/03/1954,-0.001147843
46,09/03/1954,0.000984051
47,10/03/1954,0.000981827
48,11/03/1954,0.001957019
49,12/03/1954,0
50,15/03/1954,-0.001957019
51,16/03/1954,-0.000163484
52,17/03/1954,0.00097998
53,18/03/1954,0.001790908
54,19/03/1954,0.001297855
55,22/03/1954,-0.0003241
56,23/03/1954,-0.003091077
57,24/03/1954,-0.002127695
58,25/03/1954,-0.000821128
59,26/03/1954,0.002295257
60,29/03/1954,0.001632074
61,30/03/1954,0.000488429
62,31/03/1954,0.004049018
63,01/04/1954,0.003692047
64,02/04/1954,0.000638903
65,05/04/1954,0.00079731
66,06/04/1954,-0.004001267
67,07/04/1954,0.001604933
68,08/04/1954,0.004303926
69,09/04/1954,0
70,12/04/1954,0.003003322
71,13/04/1954,0.001101273
72,14/04/1954,0.003287161
73,15/04/1954,0.001401202
74,19/04/1954,-0.00280694
75,20/04/1954,-0.000156474
76,21/04/1954,-0.001724949
77,22/04/1954,0.000628047
78,23/04/1954,0.001566156
79,26/04/1954,0.001560528
80,27/04/1954,-0.002656244
81,28/04/1954,0.000782936
82,29/04/1954,0.006521527
83,30/04/1954,0.001231169
84,03/05/1954,-0.000769071
85,04/05/1954,0.001076319
86,05/05/1954,0.000153542
87,06/05/1954,0.00336427
88,07/05/1954,0.002127409
89,10/05/1954,-0.000454997
90,11/05/1954,-0.00197718
